gen1_geo_id,gen3_geo_id
1152922191801624834,1729382256910280960
1152922191801625090,1729382256910281216
1152922191801625346,1729382256910281472
1152922191801625602,1729382256910281728
1152922191801625858,1729382256910281984
1152922191801626114,1729382256910282240
1152922191801626370,1729382256910282496
1152922191801626626,1729382256910282752
1152922191801626882,1729382256910283008
1152922191801627138,1729382256910283264
1152922191801627394,1729382256910283520
1152922191801627650,1729382256910283776
1152922191801627906,1729382256910284032
1152922191801628162,1729382256910284288
1152922191801628418,1729382256910284544
1152922191801628674,1729382256910284800
1152922191801628930,1729382256910285056
1152922191801629186,1729382256910285312
1152922191801629442,1729382256910285568
1152922191801629698,1729382256910285824
1152922329240568065,1657324662872342784
1152922329240568321,1657324662872343040
1152922329240568577,1657324662872343296
1152922329240568833,1657324662872343552
1152922329240569089,1657324662872343808
1152922329240569345,1657324662872344064
1152922329240569601,1657324662872344320
1152922329240569857,1657324662872344576
1152922329240570113,1657324662872344832
1152922329240570369,1657324662872345088
1152922329240570625,1657324662872345344
1152922329240570881,1657324662872345600
1152922329240571137,1657324662872345856
1152922329240571393,1657324662872346112
1152922329240571649,1657324662872346368
1152922329240571905,1657324662872346624
1152922329240572161,1657324662872346880
1152922329240572417,1657324662872347136
1152922329240572673,1657324662872347392
1152922329240572929,1657324662872347648
1152922329240573185,1657324662872347904
1152922329240573441,1657324662872348160
1152922329240573697,1657324662872348416
1152922329240573953,1657324662872348672
1152922329240574210,1657324662872348928
1152922329240574466,1657324662872349184
1152922329240574722,1657324662872349440
1152922329240574978,1657324662872349696
1152922329240575234,1657324662872349952
1152922329240575490,1657324662872350208
1152922329240575746,1657324662872350464
1152922329240576002,1657324662872350720
1152922329240576258,1657324662872350976
1152922329240576514,1657324662872351232
1152922329240576770,1657324662872351488
1152922329240577026,1657324662872351744
1152922329240577282,1657324662872352000
1152922329240577538,1657324662872352256
1152922329240577794,1657324662872352512
1152922329240578050,1657324662872352768
1152922329240578306,1657324662872353024
1152922329240578562,1657324662872353280
1152922329240578818,1657324662872353536
1152922329240579074,1657324662872353792
1152922329240579330,1657324662872354048
1152922329240579586,1657324662872354304
1152922329240579842,1657324662872354560
1152922329240580098,1657324662872354816
1152922329240580354,1657324662872355072
1152922329240580610,1657324662872355328
1152922329240580866,1657324662872355584
1152922329240581122,1657324662872355840
1152922329240581378,1657324662872356096
1152922329240581634,1657324662872356352
1152922329240581890,1657324662872356608
1152922329240582146,1657324662872356864
1152922329240582402,1657324662872357120
1152922329240582658,1657324662872357376
1152922329240582914,1657324662872357632
1152922329240583170,1657324662872357888
1152922466679521537,1585267068834414848
1152922466679521793,1585267068834415104
1152922466679522049,1585267068834415360
1152922466679522305,1585267068834415616
1152922466679522561,1585267068834415872
1152922466679522817,1585267068834416128
1152922466679523073,1585267068834416384
1152922466679523329,1585267068834416640
1152922466679523585,1585267068834416896
1152922466679523841,1585267068834417152
1152922466679524097,1585267068834417408
1152922466679524353,1585267068834417664
1152922466679524609,1585267068834417920
1152922466679524865,1585267068834418176
1152922466679525121,1585267068834418432
1152922466679525377,1585267068834418688
1152922466679525633,1585267068834418944
1152922466679525889,1585267068834419200
1152922466679526145,1585267068834419456
1152922466679526401,1585267068834419712
1152922466679526657,1585267068834419968
1152922466679526913,1585267068834420224
1152922466679527169,1585267068834420480
1152922466679527425,1585267068834420736
1152922466679527682,1585267068834420992
1152922466679527938,1585267068834421248
1152922466679528194,1585267068834421504
1152922466679528450,1585267068834421760
1152922466679528706,1585267068834422016
1152922466679528962,1585267068834422272
1152922466679529218,1585267068834422528
1152922466679529474,1585267068834422784
1152922466679529730,1585267068834423040
1152922466679529986,1585267068834423296
1152922466679530242,1585267068834423552
1152922466679530498,1585267068834423808
1152922466679530754,1585267068834424064
1152922466679531010,1585267068834424320
1152922466679531266,1585267068834424576
1152922466679531522,1585267068834424832
1152922466679531778,1585267068834425088
1152922466679532034,1585267068834425344
1152922466679532290,1585267068834425600
1152922466679532546,1585267068834425856
1152922466679532802,1585267068834426112
1152922466679533058,1585267068834426368
1152922466679533314,1585267068834426624
1152922466679533570,1585267068834426880
1152922466679533826,1585267068834427136
1152922466679534082,1585267068834427392
1152922466679534338,1585267068834427648
1152922466679534594,1585267068834427904
1152922466679534850,1585267068834428160
1152922466679535106,1585267068834428416
1152922466679535362,1585267068834428672
1152922466679535618,1585267068834428928
1152922466679535874,1585267068834429184
1152922466679536130,1585267068834429440
1152922466679536386,1585267068834429696
1152922466679536642,1585267068834429952
1152922604118475009,1513209474796486912
1152922604118475265,1513209474796487168
1152922604118475521,1513209474796487424
1152922604118475777,1513209474796487680
